id,trial,session,stim_type,factual_truth,resp,rt,correct,condition
12,16,1,0,0,0,4.33,1,3
12,17,1,0,0,0,7.81,1,3
12,18,1,0,1,0,7.35,0,1
12,19,1,1,0,0,5.35,1,4
12,20,1,1,0,1,3.52,0,4
12,21,1,1,0,1,6.67,0,4
12,23,1,1,1,1,4.79,1,2
12,24,1,0,0,1,5.9,0,3
12,25,1,0,0,0,3.62,1,3
12,26,1,0,1,0,6.61,0,1
12,27,1,1,1,1,3.91,1,2
12,29,1,1,1,1,6.55,1,2
12,30,1,0,0,0,7.32,1,3
12,31,1,1,0,1,4.03,0,4
12,32,1,0,0,0,4.13,1,3
12,33,1,1,1,1,5.77,1,2
12,35,1,0,1,0,8.39,0,1
12,38,1,1,1,1,6.12,1,2
12,39,1,0,0,1,6.5,0,3
12,40,1,1,1,0,6,0,2
12,41,1,0,1,1,6.28,1,1
12,42,1,0,1,0,6.36,0,1
12,44,1,1,0,0,4.03,1,4
12,45,1,0,0,1,4.02,0,3
12,47,1,1,0,1,7.06,0,4
12,48,1,0,0,1,4.7,0,3
12,50,1,0,1,0,7.86,0,1
12,51,1,0,0,1,5.48,0,3
12,52,1,0,1,1,9.03,1,1
12,53,1,1,0,0,6.33,1,4
12,54,1,0,1,1,4.39,1,1
12,55,1,1,1,1,5.55,1,2
12,56,1,1,1,1,4.58,1,2
12,59,1,1,0,0,3.57,1,4
13,1,1,0,1,1,5.24,1,1
13,2,1,1,1,1,4.68,1,2
13,3,1,1,0,1,3.94,0,4
13,4,1,1,1,1,3.2,1,2
13,5,1,0,0,1,2.87,0,3
13,6,1,0,1,0,6.08,0,1
13,7,1,1,1,1,3.11,1,2
13,8,1,0,1,0,3.84,0,1
13,9,1,0,0,0,4.06,1,3
13,10,1,1,0,1,6.07,0,4
13,11,1,0,0,1,5.11,0,3
13,12,1,0,1,1,4.36,1,1
13,13,1,1,1,1,3.72,1,2
13,14,1,0,0,1,4.43,0,3
13,15,1,1,0,0,3.2,1,4
13,16,1,0,0,0,6.24,1,3
13,17,1,1,0,1,3.68,0,4
